index,name,n_rows,n_empty,empty_rate,n_distinct,n_distinct_nonempty,all_nonempty_match_decimal,all_nonempty_match_integer,min_decimal,max_decimal,n_negative,n_zero,n_with_leading_zero,n_with_leading_zero_any,min_len,max_len,is_constant,looks_unique,n_candidate_sentinel_values,top1_value,top1_count
210,FWI_Bins_EndC_NC,62834,22,0.0003501289110990865,7,6,False,False,,,,,,0,3,12,False,False,0,Medium,15227
211,FWIBins_HistSpr_95,62834,22,0.0003501289110990865,62810,62809,True,False,0.060297300000000,63.223708150000000,0,0,,0,17,18,False,False,0,,22
212,FWIBins_HistSpr_NC,62834,22,0.0003501289110990865,7,6,False,False,,,,,,0,3,12,False,False,0,Low,27669
213,FWIBins_HistSum_95,62834,22,0.0003501289110990865,62813,62812,True,False,0.000244570000000,77.604154800000003,0,0,,0,17,18,False,True,0,,22
214,FWIBins_HistSum_NC,62834,22,0.0003501289110990865,7,6,False,False,,,,,,0,3,12,False,False,0,Low,16000
215,FWIBins_HistAut_95,62834,22,0.0003501289110990865,62813,62812,True,False,0.043978730000000,85.176548859999997,0,0,,0,17,18,False,True,0,,22
216,FWIBins_HistAut_NC,62834,22,0.0003501289110990865,7,6,False,False,,,,,,0,3,12,False,False,0,High,17984
217,FWIBins_HistWin_95,62834,22,0.0003501289110990865,61331,61330,True,False,0.042755560000000,49.895888909999996,0,0,,0,17,18,False,False,0,,22
218,FWIBins_HistWin_NC,62834,22,0.0003501289110990865,6,5,False,False,,,,,,0,3,9,False,False,0,Low,49345
219,FWIBins_MidSpr_95,62834,22,0.0003501289110990865,62812,62811,True,False,0.014468240000000,68.503660810000000,0,0,,0,17,18,False,False,0,,22
220,FWIBins_MidSpr_NC,62834,22,0.0003501289110990865,7,6,False,False,,,,,,0,3,12,False,False,0,Low,32056
221,FWIBins_MidSum_95,62834,22,0.0003501289110990865,62813,62812,True,False,0.000072460000000,82.780007760000004,0,0,,0,17,18,False,True,0,,22
222,FWIBins_MidSum_NC,62834,22,0.0003501289110990865,7,6,False,False,,,,,,0,3,12,False,False,0,Low,16345
223,FWIBins_MidAut_95,62834,22,0.0003501289110990865,62813,62812,True,False,0.007280570000000,73.294427290000002,0,0,,0,17,18,False,True,0,,22
224,FWIBins_MidAut_NC,62834,22,0.0003501289110990865,7,6,False,False,,,,,,0,3,12,False,False,0,High,21561
225,FWIBins_MidWin_95,62834,22,0.0003501289110990865,61342,61341,True,False,0.045022220000000,48.408970289999999,0,0,,0,17,18,False,False,0,,22
226,FWIBins_MidWin_NC,62834,22,0.0003501289110990865,6,5,False,False,,,,,,0,3,9,False,False,0,Low,50207
227,FWIBins_EndSpr_95,62834,22,0.0003501289110990865,62813,62812,True,False,0.035151410000000,72.728569239999999,0,0,,0,17,18,False,True,0,,22
228,FWIBins_EndSpr_NC,62834,22,0.0003501289110990865,7,6,False,False,,,,,,0,3,12,False,False,0,Low,26970
229,FWIBins_EndSum_95,62834,22,0.0003501289110990865,62811,62810,True,False,0.000000000000000,86.406705630000005,0,2,,0,17,18,False,False,0,,22
230,FWIBins_EndSum_NC,62834,22,0.0003501289110990865,7,6,False,False,,,,,,0,3,12,False,False,0,Medium,13562
231,FWIBins_EndAut_95,62834,22,0.0003501289110990865,62813,62812,True,False,0.003774910000000,79.384504860000007,0,0,,0,17,18,False,True,0,,22
232,FWIBins_EndAut_NC,62834,22,0.0003501289110990865,7,6,False,False,,,,,,0,3,12,False,False,0,High,22337
233,FWIBins_EndWin_95,62834,22,0.0003501289110990865,62259,62258,True,False,0.053392590000000,62.078407400000003,0,0,,0,17,18,False,False,0,,22
234,FWIBins_EndWin_NC,62834,22,0.0003501289110990865,7,6,False,False,,,,,,0,3,12,False,False,0,Low,43888
235,OBJECTID_12,62834,83,0.0013209408918738264,62752,62751,True,True,1,63458,0,0,0,0,1,5,False,True,0,,83
236,OBJECTID_12_13,62834,83,0.0013209408918738264,62752,62751,True,True,1,63458,0,0,0,0,1,5,False,True,0,,83
237,Crossmodel_12,62834,83,0.0013209408918738264,62752,62751,False,False,,,,,,0,8,8,False,True,0,,83
238,heatindex_HIS_DayMax,62834,83,0.0013209408918738264,62611,62610,True,False,26.541812900000000,107.121579490000002,0,0,,0,18,19,False,False,0,,83
239,heatindex_HIS_SeaMax,62834,83,0.0013209408918738264,62625,62624,True,False,35.960673010000001,131.667566940000000,0,0,,0,18,19,False,False,0,,83
240,heatindex_HIS_Day95,62834,83,0.0013209408918738264,12267,12266,True,False,0.000000000000000,78.799997970000007,0,19707,,0,17,18,False,False,1,0.000000000000000,19707
241,heatindex_HIS_Day105,62834,83,0.0013209408918738264,4886,4885,True,False,0.000000000000000,42.866665519999998,0,32960,,0,17,18,False,False,1,0.000000000000000,32960
242,heatindex_HIS_Day115,62834,83,0.0013209408918738264,294,293,True,False,0.000000000000000,16.966666860000000,0,48975,,0,17,18,False,False,1,0.000000000000000,48975
243,heatindex_HIS_Day125,62834,83,0.0013209408918738264,116,115,True,False,0.000000000000000,11.733333269999999,0,54443,,0,17,18,False,False,1,0.000000000000000,54443
244,heatindex_M85_DayMax,62834,83,0.0013209408918738264,62652,62651,True,False,29.891907369999998,117.152496339999999,0,0,,0,18,19,False,False,0,,83
245,heatindex_M85_SeaMax,62834,83,0.0013209408918738264,62673,62672,True,False,37.659868879999998,142.907671609999994,0,0,,0,18,19,False,False,0,,83
246,heatindex_M85_Day95,62834,83,0.0013209408918738264,11896,11895,True,False,0.000000000000000,86.899998980000007,0,10944,,0,17,18,False,False,1,0.000000000000000,10944
247,heatindex_M85_Day105,62834,83,0.0013209408918738264,11052,11051,True,False,0.000000000000000,66.033334100000005,0,14647,,0,17,18,False,False,1,0.000000000000000,14647
248,heatindex_M85_Day115,62834,83,0.0013209408918738264,6286,6285,True,False,0.000000000000000,34.599999750000002,0,16157,,0,17,18,False,False,1,0.000000000000000,16157
249,heatindex_M85_Day125,62834,83,0.0013209408918738264,3521,3520,True,False,0.000000000000000,26.433333709999999,0,17256,,0,17,18,False,False,1,0.000000000000000,17256
250,heatindex_E85_DayMax,62834,83,0.0013209408918738264,62650,62649,True,False,33.497118630000003,135.198733010000012,0,0,,0,18,19,False,False,0,,83
251,heatindex_E85_SeaMax,62834,83,0.0013209408918738264,62649,62648,True,False,39.952598569999999,153.541765849999990,0,0,,0,18,19,False,False,0,,83
252,heatindex_E85_Day95,62834,83,0.0013209408918738264,9815,9814,True,False,0.000000000000000,90.300000510000004,0,7141,,0,17,18,False,False,1,0.000000000000000,7141
253,heatindex_E85_Day105,62834,83,0.0013209408918738264,9902,9901,True,False,0.000000000000000,85.666666669999998,0,11815,,0,17,18,False,False,1,0.000000000000000,11815
254,heatindex_E85_Day115,62834,83,0.0013209408918738264,9122,9121,True,False,0.000000000000000,80.033332819999998,0,13684,,0,17,18,False,False,1,0.000000000000000,13684
255,heatindex_E85_Day125,62834,83,0.0013209408918738264,7665,7664,True,False,0.000000000000000,71.066666920000003,0,14914,,0,17,18,False,False,1,0.000000000000000,14914
256,heatindex_C_M85_DMax,62834,83,0.0013209408918738264,61775,61774,True,False,1.113239290000000,16.019785559999999,0,0,,0,17,18,False,False,0,,83
